layer,condition_id,label,feature_count,decoy_family,decoy_level,description,features
canonical,trajectory_only,L1 trajectory-only,5,,,Only the 5 trajectory-shape features.,"traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence"
canonical,uncertainty_only,L1 uncertainty-only,7,,,"Token uncertainty proxies: gini, neg-entropy, self-certainty.","tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency"
canonical,token_only,L1 token-only,11,,,"All 11 token-level features, no trajectory, no availability flags.","tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency"
canonical,token_plus_trajectory,L1 token + trajectory,16,,,"11 token features + 5 trajectory features, still excluding availability flags.","tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence"
canonical,canonical_22,L1 canonical 22,22,,,Paper-facing canonical 22-feature bank = token + trajectory + availability.,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank"
expansion,canonical_plus_neuron_adjacent,L2 canonical + neuron-adjacent,25,,,Canonical 22 + nc_mean + nc_slope + self_similarity.,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity"
expansion,canonical_plus_prefix_tail,L2 canonical + prefix-tail,28,,,Previous line + tail_q10 + head_tail_gap + tail_variance.,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance"
expansion,canonical_plus_event_local,L2 canonical + event-local,30,,,Widest real upstream bank: canonical + neuron-adjacent + prefix-tail + event-local (30 features).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,perm_low,L3 permutation low,45,permutation,low,Widest real bank (30 features) + permutation decoys at low dose (ratio=0.5).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,perm_med,L3 permutation med,60,permutation,med,Widest real bank (30 features) + permutation decoys at med dose (ratio=1.0).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,perm_high,L3 permutation high,90,permutation,high,Widest real bank (30 features) + permutation decoys at high dose (ratio=2.0).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,duplicate_low,L3 duplicate low,45,duplicate,low,Widest real bank (30 features) + duplicate decoys at low dose (ratio=0.5).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,duplicate_med,L3 duplicate med,60,duplicate,med,Widest real bank (30 features) + duplicate decoys at med dose (ratio=1.0).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,duplicate_high,L3 duplicate high,90,duplicate,high,Widest real bank (30 features) + duplicate decoys at high dose (ratio=2.0).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,random_low,L3 random low,45,random,low,Widest real bank (30 features) + random decoys at low dose (ratio=0.5).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,random_med,L3 random med,60,random,med,Widest real bank (30 features) + random decoys at med dose (ratio=1.0).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
noise,random_high,L3 random high,90,random,high,Widest real bank (30 features) + random decoys at high dose (ratio=2.0).,"tok_conf_prefix, tok_conf_recency, tok_gini_prefix, tok_gini_tail, tok_gini_slope, tok_neg_entropy_prefix, tok_neg_entropy_recency, tok_selfcert_prefix, tok_selfcert_recency, tok_logprob_prefix, tok_logprob_recency, traj_continuity, traj_reflection_count, traj_novelty, traj_max_reflection, traj_late_convergence, has_tok_conf, has_tok_gini, has_tok_neg_entropy, has_tok_selfcert, has_tok_logprob, has_rows_bank, nc_mean, nc_slope, self_similarity, tail_q10, head_tail_gap, tail_variance, last_event_tail_conf, event_pre_post_delta"
